,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
116,Al0.109Co0.217Cr0.217Fe0.217Mo0.022Ni0.217,AC,220.0,7,46.0,y,https://doi.org/10.1016/j.vacuum.2020.109173,https://doi.org/10.1016/j.jallcom.2018.02.003
117,Al0.110Co0.178Cr0.178Fe0.178Mn0.178Ni0.178,AC,405.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
118,Al0.110Cr0.280Cu0.270Fe0.060Ni0.280,AC,469.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
119,Al0.110Cr0.280Cu0.290Fe0.070Ni0.250,AC,477.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
120,Al0.110Cr0.290Cu0.290Fe0.050Ni0.260,AC,495.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
121,Al0.111Co0.222Cr0.222Cu0.222Fe0.222,AC,207.0,8,20.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.3166/acsm.31.633-648
122,Al0.111Co0.222Cr0.222Fe0.222Ni0.222,AC,159.0,1,7.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
123,Al0.111Co0.222Cr0.222Fe0.222Ni0.222,HM,209.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
124,Al0.111Co0.222Cr0.222Fe0.222Ni0.222,WR,368.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
125,Al0.111Co0.222Cr0.222Fe0.222Ni0.222,AC,175.0,7,46.0,y,https://doi.org/10.1016/j.vacuum.2020.109173,https://doi.org/10.1016/j.jallcom.2018.02.003
126,Al0.111Co0.222Cr0.222Fe0.222Ni0.222,AC,159.0,8,54.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2009.08.090
127,Al0.111Co0.222Cr0.222Fe0.222Ni0.222,AC,250.0,8,255.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.intermet.2012.03.005
128,Al0.111Cr0.222Cu0.222Fe0.222Ni0.222,AC,382.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
129,Al0.111Cr0.222Cu0.222Fe0.222Ni0.222,AC,226.0,8,126.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11665-018-3822-8
130,Al0.111Cr0.222Cu0.222Fe0.222Ni0.222,WR,287.0,8,126.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11665-018-3822-8
131,Al0.111Cr0.222Fe0.222Mn0.222Ni0.222,AC,353.0,8,99.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2019.04.104
132,Al0.111Cr0.222Fe0.222Ni0.444,AC,229.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
133,Al0.111Cr0.222Fe0.333Mn0.222Ni0.111,AC,396.0,1,30.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2010.05.052
134,Al0.111Fe0.222Ni0.222Cr0.222Co0.222,PM,577.0,6,41.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.msea.2015.08.056
135,Al0.111Mo0.222Nb0.222Ti0.222V0.222,AC,487.0,1,54.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.3390/e16020870
136,Al0.118Cr0.294Fe0.441Ni0.147,AC,450.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
137,Al0.120Co0.176Cr0.176Fe0.176Mn0.176Ni0.176,AC,486.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
138,Al0.120Cr0.310Cu0.200Fe0.050Ni0.320,AC,483.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
139,Al0.120Cr0.310Cu0.210Fe0.050Ni0.310,AC,469.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
140,Al0.123Co0.175Cr0.175Fe0.175Mn0.175Ni0.175,PM,622.0,8,136.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2018.10.168
141,Al0.123Cr0.175Cu0.175Fe0.175Ni0.351,AC,290.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
142,Al0.125Co0.125Cr0.125Fe0.125Ni0.125Ti0.125V0.125Zr0.125,AC,780.0,1,27.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200300567
143,Al0.125Co0.125Cr0.125Fe0.125Ni0.500,AC,225.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
144,Al0.125Co0.250Fe0.250Ni0.250Ti0.125,PM,733.0,8,256.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2013.12.096
145,Al0.125Cr0.250Fe0.250Ni0.250Co0.075C0.050,PM,617.0,6,34.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.matdes.2013.08.099
146,Al0.130Co0.174Cr0.174Fe0.174Mn0.174Ni0.174,AC,530.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
147,Al0.130Co0.217Cr0.217Fe0.217Ni0.217,AC,228.0,8,138.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matdes.2019.107698
148,Al0.130Cr0.217Fe0.217Mn0.217Ni0.217,AC,361.0,8,99.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2019.04.104
149,Al0.130Cr0.280Cu0.220Fe0.060Ni0.310,AC,459.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
150,Al0.130Hf0.174Nb0.174Ta0.174Ti0.174Zr0.174,AC,427.0,1,53.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2014.11.064
